node_id,latitude,longitude,address,city
NZ05DQ293BKMKCXYCD7I,Ajuntament de Cabrera de Mar - LAFON EdRR 3,41.51103,2.401058,"Av. Burriac, 24",Cabrera de Mar
P99LQFB1FKNWPYFMH5SX,Constantí - INGETEAM EdRSR 1,41.152386,1.216997,"Av. Onze De Setembre, 5, 43120 Constantí, Tarragona, Spain",Constantí
PJ4XQUW9OJIT85ZHOCUG,Unknown,41.748814,1.861665,"Cataluña 08272 Es, 08272, Barcelona, Spain",Sant Fruitós de Bages
NPMBDHG7PYW0S9E6ZQ6C,Unknown,41.75207,1.861258,"Carrer Aneto, 2-12",Sant Fruitós de Bages
MZDJYZH8ZD1UA7TRE6IY,Unknown,41.629578,0.621165,"Av. De Pinyana, 2, 25005 Lleida, Spain",Lleida
AID9PEQQ2WDYSFTIQUXC,Unknown,41.335068,1.685886,"Avinguda De Tarragona, 143D",Vilafranca del Penedès
KWXL32QBF3P9HNLNLMNB,Unknown,41.06718,1.064081,"Rambla De Jaume I, 63",Cambrils
QM7V77JZQ3S8DWMYID15,Unknown,41.526085,2.394125,Plaça De La Fàbrica,Cabrera de Mar
YZF7KWZDZCFL6RYQM25Q,Constantí - INGETEAM EdRSR 3,41.15287,1.213909,"Carrer Major, 32",Constantí
O6DBN0JPPJPLLQE0H0VL,Unknown,40.712418,0.57894,"Avinguda Alcalde Palau, 57",Amposta
VDMMH3CTKTNZCZMYF7SO,Unknown,41.06472,1.057482,"Carrer De Robert Gerhard, 4",Cambrils
GCJVV4IUSYBLOXSCSCLE,Unknown,41.511166,2.400972,"Av. Burriac, 24, 08349 Cabrera De Mar, Barcelona, Spain",Cabrera de Mar
IDU3IHL13GOSRVFNWFNV,Constantí - INGETEAM EdRSR 2,41.151882,1.214421,"Carrer Barcelona, 11, 43120 Constantí, Tarragona, Spain",Constantí
YMUBOK3JBIQNT7FO8ADG,Unknown,41.064697,1.05762,"Carrer Robert Gerhard, 2",Cambrils
KHVUYWRTGMFFLAIF8MH6,Unknown,41.620327,0.618009,"Carrer Magí Morera, 60, 25006 Lleida, Spain",Lleida
IZFG9E6ZDHESINSFQKBJ,Unknown,41.238686,1.757855,"Carrer De Les Modistes, 8",Sant Pere de Ribes
8GFTJ5TO8HXNT6AVOKO2,Unknown,41.259373,1.77387,"Carrer De Lluís Companys, 75",Olivella
NJKOGMRCXCOBUFKWQNRV,Unknown,41.752758,1.872272,"Av. Bertrand I Serra, 22, 08272 Sant Fruitós De Bages, Barcelona, Spain",Sant Fruitós de Bages
AP07G1ELTJ1URQNXISFB,Unknown,41.75166,1.876798,"Ctra. De Vic, 93, 08272 Sant Fruitós De Bages, Barcelona, Spain",Sant Fruitós de Bages
HQGOPQKKRMXD1UCYIZHC,Unknown,41.230183,1.745233,"Avinguda De Mas D'en Serra, 2",Sant Pere de Ribes
1DM4T6BOMI4XGYCTWLEF,Unknown,41.848434,2.388389,"Gi-520, 3A, 17406 Viladrau, Girona, Spain",Viladrau
VQKCEPUTXKGZJN4AAMRR,Unknown,40.81415,0.515161,"Carrer D'alcanyís, 14, 43500 Tortosa, Tarragona, Spain",Tortosa
K5CLSR7QZ9QCCGGN4CSY,Unknown,40.81688,0.52428,"Plaça De La Immaculada, 16",Tortosa
2ZH9O5N5IIPDMIM9E4YB,Unknown,40.807564,0.520117,"Av. De La Generalitat, 101, 43500 Tortosa, Tarragona, Spain",Tortosa
IKI2ABQHCCREIKMHJBLO,Unknown,42.092537,1.825572,"Cami De Can Ballús, Polígon Industrial La Valldan",Berga
J6M2KZDQ9C5UZQ8ECCVE,Unknown,42.10457,1.851792,"Passeig De La Indústria, 13",Berga
8LHD9WXR7GXJJQBWW6MU,Unknown,42.09448,1.821491,"C Germans Farguell, Sn",Berga
3OTTQLSTOBYXB2BYGG6A,Unknown,42.0973,1.846133,"Carrer Francesc Macià, 14",Berga
K3KGDADWAI1DZMTJ6NTP,Unknown,41.736813,1.828364,"Carrer De Bertran De Castellbell, 81",Manresa
GOJODSGDFLUZG19WPRLK,Unknown,42.264854,3.171301,"Av. De Rhode, 65, 17480 Roses, Girona, Spain",Roses
CBLJBOHWZNICSFIFT5IF,Unknown,41.724213,1.845599,"Carrer De Joan Fuster, 940, 08243 Manresa, Barcelona, Spain",Manresa
UJODD0JRW1HAXBK1RARR,Unknown,42.26352,3.178917,"Carrer De La Riera Ginjolers, 68",Roses
H29SLQ5MJ3MVY3ZMTEFG,"Passatge Ajuntament, 16",41.86148,2.662512,"Ctra. Sant Hilari, 2, 17430 Santa Coloma De Farners, Girona, Spain",Lloret de Mar
ZR9BRFMOMCKSHNTSH5N4,Unknown,42.308895,3.013139,"Camí De La Garriga, 3, 17491 Perelada, Girona, Spain",Peralada
YSXAJ2TFKG1VNPI3C5CL,Unknown,42.31046,3.012,"Passeig De Catalunya, S/N",Peralada
NDA1LIE3MJMXBVHSQ9TJ,Unknown,41.00364,0.928718,"Av. Màlaga, 34, 43892 Miami Platja, Tarragona, Spain",Mont-roig del Camp
Y3BZXQTF01FGUNLANPU8,Unknown,41.082844,0.958994,"26 Partida Boveral, 43300, Tarragona, Spain",Mont-roig del Camp
ZVVDHIH8U3PGLXZTZUOA,Mont-roig del Camp - INGETEAM EdRSR 1 Ajuntament,41.00675,0.935722,"Av. Califòrnia, 15",Mont-roig del Camp
A7GLIRSZNLB3Q3RL3TRX,Unknown,41.010136,0.938962,"Av. Del Mar, 21",Mont-roig del Camp
SGQ0S6FWE4ZAWOBGGXWO,Unknown,41.616524,2.660381,"Carrer De Sant Joan, 104, 08370 Calella, Barcelona, Spain",Calella
X8MPE6VV8Y2GW4GMVHL0,Unknown,41.377373,1.163606,"Muralla De Sta. Tecla, 51, 43400 Montblanc, Tarragona, Spain",Montblanc
NEX01GPUKCXF8DSP8OSH,Unknown,41.375767,1.163327,Carrer Jaume Conesa,Montblanc
I66N3OEXTVQ1QJAVD2Q2,Unknown,40.794773,0.525542,"Carrer Barcelona, 154, 43518 Tortosa, Tarragona, Spain",Tortosa
W85KYN9DRKTYSOOQ4Y2E,Unknown,40.77003,0.654832,Viver D'empreses Baix Ebre Innova - Oficina 11,Camarles
GMBPVXSKEQY2ERUDSXNO,Unknown,41.485634,2.030229,"S/N, Rambleta De Joan Miró",Rubí
7NPB1BO0WT0FYATKTXJT,Unknown,41.502808,2.04375,Carrer Del Futbol S/N (Aparcament Complex Esportiu Can Rosés),Rubí
5O1556UVM7PW6QW1G2IR,Unknown,41.48497,2.029917,Rambleta De Joan Miró Sn,Rubí
UCHEATTOP0Z7EBY9LFPN,Unknown,41.494,2.029413,"Carrer De Joaquim Blume, 28",Rubí
HZC8SO50EVKZGE5QEXSJ,Unknown,41.48572,2.030192,"Rambleta De Joan Miró, S/N",Rubí
SX25YOBOGVR4I37VJ80T,Unknown,41.491016,2.025064,"Passatge Topazi, 12",Rubí
5MHWDCIOYEBQSDIF0P24,Unknown,41.501637,2.029355,"Carrer De Can Serra, 3",Rubí
1AGRB3FQFJECOPOEC7EK,Unknown,41.194393,1.624786,"Carrer Les Sorres, 17, 43881 Cunit, Tarragona, Spain",Albinyana
1TWGXRMR0MR9HRXPI32Y,Unknown,41.196133,1.633675,"Av. De La Font, 64, 43881 Cunit, Tarragona, Spain",Albinyana
63TVNNR74GRI1OB49OKU,Unknown,41.19981,1.626726,"Carrer De La Creueta, 17",Albinyana
06SOPOWLCJQRVEF9GR63,Unknown,41.200115,1.635514,Cr. Onofre,Albinyana
MSTSG6I2NTXHVGBV5RRB,Unknown,41.589275,1.621518,"Carrer De Lecco, 30, 08700 Igualada, Barcelona, Spain",Igualada
LEXHFILK011AU5XG81NX,"Plaça de l'Ajuntament, 12",41.899857,1.879304,"Plaça De L'ajuntament, 12",Navàs
TPL4LPWNMAAYVVHHUAQD,Unknown,41.898224,1.876346,"Carrer Santa Eulàlia, 2, 08670 Navàs, Barcelona, Spain",Navàs
NU8KIBIOZSVUCTGBAHVA,Unknown,41.790073,2.78033,"Carrer Costa Brava, 144, 17411 Vidreres, Girona, Spain",Vidreres
XC1CLUOSGSK8VQYYPTBP,Unknown,41.287525,1.258783,"Plaça De La Vil·La Romana, 5, 43800 Valls, Tarragona, Spain",Valls
VNRRDA3NFIFZQUJQJCXU,Unknown,42.268986,2.966869,Plaça Tarradellas,Figueres
B9TVN30B5S9EZOBWYNYS,Unknown,42.259785,2.966682,"Carrer Torras I Bages, 42",Figueres
CANBVMHPDVQTM5QSR6AU,Unknown,40.991882,0.92141,"Carrer Cementeri, 2, 43890 L'hospitalet De L'infant, Tarragona, Spain",Vandellòs i l'Hospitalet de l'Infant
SL6H5R92ZVEPEIZTKZBA,Unknown,41.009315,0.912715,"Carrer Martí Franques, 5",Vandellòs i l'Hospitalet de l'Infant
FVGHQR7UPBMORNJG1ISG,Unknown,41.02096,0.83128,"Carrer Major, 30",Pratdip
NZPUYUDVUXLAUC5ZWU67,Ajuntament de Vandellòs i l'Hospitalet de l'Infant - SELBA EdRSR 1,40.98877,0.924508,"Passeig Marítim, 9",Vandellòs i l'Hospitalet de l'Infant
BIOPRWSPJYCYYH5G6KUZ,Unknown,40.98882,0.913775,"Carrer Recó Del Vaqué, 8-12,",Vandellòs i l'Hospitalet de l'Infant
TCDIL3KKWLFQKDQSFAMZ,Unknown,41.12216,1.206972,"Poliesportiu, 43006 Tarragona, Spain",Tarragona
